"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Dasypus septemcinctus","Dasypus septemcinctus",NA,"Mammalia","Cingulata","Dasypodidae","faunabr",NA
"Delomys altimontanus","Delomys altimontanus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Deltamys araucaria","Deltamys araucaria",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Deltamys kempi","Deltamys kempi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Dendrocincla taunayi","Dendrocincla fuliginosa taunayi",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dendrocincla turdina","Dendrocincla fuliginosa","Dendrocopus fuliginosus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dendrocolaptes medius","Dendrocoptes medius","Picus medius","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dendrocolaptes picumnus","Dendrocolaptes picumnus",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dendroma erythroptera","Philydor erythropterum",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Dendroma rufa","Philydor rufum",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Dendrophidion atlantica","Dendrophidion atlantica",NA,"Reptilia","Squamata","Colubridae","faunabr",NA
"Dendrophidion dendrophis","Dendrophidion dendrophis","Herpetodryas dendrophis","Reptilia","Squamata","Colubridae","faunabr",NA
"Dendroplex picus","Xiphorhynchus picus","Oriolus picus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dermochelys coriacea","Dermochelys coriacea","Testudo coriacea","Reptilia","Testudines","Dermochelyidae","faunabr",NA
"Diclidurus albus","Diclidurus albus",NA,"Mammalia","Chiroptera","Emballonuridae","faunabr",NA
"Diclidurus scutatus","Diclidurus scutatus",NA,"Mammalia","Chiroptera","Emballonuridae","faunabr",NA
"Dicotyles tajacu","Pecari tajacu","Sus tajacu","Mammalia","Artiodactyla","Tayassuidae","faunabr",NA
"Didelphis marsupialis","Didelphis marsupialis",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Diopsittaca nobilis","Diopsittaca nobilis","Psittacus nobilis","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Dipsas catesbyi","Dipsas catesbyi",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Dipsas pavonina","Dipsas pavonina",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Dipsas sazimai","Dipsas sazimai",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Discosura langsdorffi","Discosura langsdorffi","Trochilus langsdorffi","Aves","Apodiformes","Trochilidae","faunabr",NA
"Discosura longicaudus","Discosura longicaudus","Trochilus longicaudus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Dracaena guianensis","Dracaena guianensis",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Dracaena paraguayensis","Dracaena paraguayensis",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Drymoluber brazili","Drymoluber brazili",NA,"Reptilia","Squamata","Colubridae","faunabr",NA
"Drymoluber dichrous","Drymoluber dichrous","Herpetodryas dichroa","Reptilia","Squamata","Colubridae","faunabr",NA
"Drymophila genei","Drymophila genei",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Drymornis bridgesii","Drymornis bridgesii",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Dysithamnus plumbeus","Dysithamnus plumbeus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Echimys chrysurus","Echimys chrysurus","Myoxus chrysurus","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Echinanthera cephalomaculata","Echinanthera cephalomaculata",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Echinanthera melanostigma","Echinanthera melanostigma","Natrix melanostigma","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Egretta tricolor","Egretta tricolor","Ardea tricolor","Aves","Pelecaniformes","Ardeidae","faunabr",NA
"Elapomorphus wuchereri","Elapomorphus wuchereri",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Electron platyrhynchum","Electron platyrhynchum","Momotus platyrhynchus","Aves","Coraciiformes","Momotidae","faunabr",NA
"Embernagra longicauda","Embernagra longicauda",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Epictia borapeliotes","Epictia borapeliotes","Leptotyphlops borapeliotes","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Epictia clinorostris","Epictia clinorostris",NA,"Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Epictia munoai","Epictia munoai","Leptotyphlops munoai","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Epictia vellardi","Epictia vellardi","Leptotyphlops vellardi","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Epinecrophylla leucophthalma","Epinecrophylla leucophthalma",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Eretmochelys imbricata","Eretmochelys imbricata","Testudo imbricata","Reptilia","Testudines","Cheloniidae","faunabr",NA
"Eudyptes chrysocome","Eudyptes chrysocome","Aptenodytes chrysocome","Aves","Sphenisciformes","Spheniscidae","faunabr",NA
"Eudyptes chrysolophus","Eudyptes chrysolophus",NA,"Aves","Sphenisciformes","Spheniscidae","faunabr",NA
"Eumops chimaera","Eumops chimaera",NA,"Mammalia","Chiroptera","Molossidae","faunabr",NA
"Euphonia cayennensis","Euphonia cayennensis","Tanagra cayennensis","Aves","Passeriformes","Fringillidae","faunabr",NA
"Euphonia xanthogaster","Euphonia xanthogaster",NA,"Aves","Passeriformes","Fringillidae","faunabr",NA
"Eupsittula aurea","Aratinga aurea","Psittacus aureus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Eupsittula cactorum","Aratinga cactorum",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Euryoryzomys lamia","Euryoryzomys lamia","Oryzomys lamia","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Euryoryzomys nitidus","Euryoryzomys nitidus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Eurypyga helias","Eurypyga helias","Ardea helias","Aves","Eurypygiformes","Eurypygidae","faunabr",NA
"Euscarthmus rufomarginatus","Euscarthmus rufomarginatus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Florisuga mellivora","Florisuga mellivora","Trochilus mellivorus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Fluvicola albiventer","Fluvicola pica","Muscicapa pica","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Formicarius analis","Formicarius analis","Myothera analis","Aves","Passeriformes","Formicariidae","faunabr",NA
"Formicivora acutirostris","Stymphalornis acutirostris",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora erythronotos","Formicivora erythronotos",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora grantsaui","Formicivora grantsaui",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora grisea","Formicivora grisea","Turdus griseus","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora iheringi","Formicivora iheringi",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora littoralis","Formicivora serrana",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Formicivora melanogaster","Formicivora melanogaster",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Forpus modestus","Forpus modestus",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Fregata minor","Fregata minor","Pelecanus minor","Aves","Suliformes","Fregatidae","faunabr",NA
"Fritziana goeldii","Fritziana goeldii","Hyla goeldii","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Fritziana izecksohni","Fritziana izecksohni",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Fritziana mitus","Fritziana mitus",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Fritziana ohausi","Fritziana ohausi","Hyla ohausi","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Fritziana tonimi","Fritziana tonimi",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Fritziana ulei","Fritziana ulei","Flectonotus ulei","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Furnarius figulus","Furnarius figulus",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Furnarius leucopus","Furnarius leucopus",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Galbula dea","Galbula dea","Alcedo dea","Aves","Galbuliformes","Galbulidae","faunabr",NA
"Galea flavidens","Galea flavidens",NA,"Mammalia","Rodentia","Caviidae","faunabr",NA
"Galea spixii","Galea spixii","Cavia spixii","Mammalia","Rodentia","Caviidae","faunabr",NA
"Gallinago paraguaiae","Gallinago paraguaiae","Scolopax paraguaiae","Aves","Charadriiformes","Scolopacidae","faunabr",NA
"Gallinula galeata","Gallinula chloropus","Fulica chloropus","Aves","Gruiformes","Rallidae","faunabr",NA
"Gastrotheca albolineata","Gastrotheca albolineata","Hyla albolineata","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gastrotheca ernestoi","Gastrotheca ernestoi",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gastrotheca fissipes","Gastrotheca fissipes","Nototrema fissipes","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gastrotheca flamma","Gastrotheca flamma",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gastrotheca fulvorufa","Gastrotheca fulvorufa","Nototrema fulvorufa","Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gastrotheca megacephala","Gastrotheca megacephala",NA,"Amphibia","Anura","Hemiphractidae","faunabr",NA
"Gelochelidon nilotica","Gelochelidon nilotica","Sterna nilotica","Aves","Charadriiformes","Sternidae","faunabr",NA
"Geositta cunicularia","Geositta cunicularia",NA,"Aves","Passeriformes","Scleruridae","faunabr",NA
"Geositta poeciloptera","Geositta poeciloptera",NA,"Aves","Passeriformes","Scleruridae","faunabr",NA
"Geranoaetus albicaudatus","Buteo albicaudatus",NA,"Aves","Accipitriformes","Accipitridae","faunabr",NA
"Glaucidium mooreorum","Glaucidium mooreorum",NA,"Aves","Strigiformes","Strigidae","faunabr",NA
"Glaucis dohrnii","Glaucis dohrnii","Trochilus dohrnii","Aves","Apodiformes","Trochilidae","faunabr",NA
"Glyphorynchus spirurus","Glyphorynchus spirurus","Neops spirurus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Gracilinanus microtarsus","Gracilinanus microtarsus",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Griseotyrannus aurantioatrocristatus","Empidonomus aurantioatrocristatus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Gubernatrix cristata","Gubernatrix cristata","Coccothraustes cristata","Aves","Passeriformes","Thraupidae","faunabr",NA
"Guerlinguetus aestuans","Sciurus aestuans",NA,"Mammalia","Rodentia","Sciuridae","faunabr",NA
"Guyramemua affine","Guyramemua affine",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Heliactin bilophus","Heliactin bilophus","Trochilus bilophus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Helicolestes hamatus","Helicolestes hamatus","Falco hamatus","Aves","Accipitriformes","Accipitridae","faunabr",NA
"Helicops angulatus","Helicops angulatus","Coluber angulatus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Helicops polylepis","Helicops polylepis",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Helicops trivittatus","Helicops trivittatus","Myron trivittatus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Heliodoxa rubricauda","Clytolaema rubricauda","Trochilus rubricauda","Aves","Apodiformes","Trochilidae","faunabr",NA
"Heliomaster longirostris","Heliomaster longirostris","Trochilus longirostris","Aves","Apodiformes","Trochilidae","faunabr",NA
"Heliomaster squamosus","Heliomaster squamosus","Trochilus squamosus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Hemithraupis flavicollis","Hemithraupis flavicollis","Nemosia flavicollis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Hemitriccus furcatus","Hemitriccus furcatus",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Hemitriccus griseipectus","Hemitriccus griseipectus",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Hemitriccus mirandae","Hemitriccus mirandae",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Hemitriccus striaticollis","Hemitriccus striaticollis",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Herpsilochmus frater","Herpsilochmus frater",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Herpsilochmus pectoralis","Herpsilochmus pectoralis",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Herpsilochmus pileatus","Herpsilochmus pileatus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Heteronetta atricapilla","Heteronetta atricapilla","Anas atricapilla","Aves","Anseriformes","Anatidae","faunabr",NA
"Heterospizias meridionalis","Buteogallus meridionalis","Falco meridionalis","Aves","Accipitriformes","Accipitridae","faunabr",NA
"Himantopus melanurus","Himantopus melanurus",NA,"Aves","Charadriiformes","Recurvirostridae","faunabr",NA
"Holochilus chacarius","Holochilus chacarius",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Holochilus sciureus","Holochilus sciureus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Hydrobates leucorhoa","Oceanodroma leucorhoa","Procellaria leucorhoa","Aves","Procellariiformes","Hydrobatidae","faunabr",NA
"Hydrodynastes bicinctus","Hydrodynastes bicinctus","Coluber bicinctus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Hydrodynastes melanogigas","Hydrodynastes gigas","Xenodon gigas","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Hydrops caesurus","Hydrops caesurus",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Hydrops martii","Hydrops martii","Elaps martii","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Hydrops triangularis","Hydrops triangularis","Elaps triangularis","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Hydropsalis anomala","Eleothreptus anomalus","Amblypterus anomalus","Aves","Caprimulgiformes","Caprimulgidae","faunabr",NA
"Hydrurga leptonyx","Hydrurga leptonyx","Phoca leptonyx","Mammalia","Carnivora","Phocidae","faunabr",NA
"Hylaeamys megacephalus","Hylaeamys megacephalus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Hylaeamys oniscus","Hylaeamys oniscus","Oryzomys oniscus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Hylaeamys seuanezi","Hylaeamys laticeps",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Hylaeamys yunganus","Hylaeamys yunganus","Oryzomys yunganus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Hylomantis aspera","Hylomantis aspera",NA,"Amphibia","Anura","Hylidae","faunabr",NA
"Hylomantis granulosa","Hylomantis granulosa","Phyllomedusa granulosa","Amphibia","Anura","Hylidae","faunabr",NA
"Hylopezus ochroleucus","Hylopezus ochroleucus",NA,"Aves","Passeriformes","Grallariidae","faunabr",NA
"Hylopezus paraensis","Hylopezus macularius","Pitta macularia","Aves","Passeriformes","Grallariidae","faunabr",NA
"Hylophilus semicinereus","Hylophilus semicinereus",NA,"Aves","Passeriformes","Vireonidae","faunabr",NA
"Hylophilus thoracicus","Hylophilus thoracicus",NA,"Aves","Passeriformes","Vireonidae","faunabr",NA
"Hylophylax naevius","Hylophylax naevius",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Hypocnemoides maculicauda","Hypocnemoides maculicauda",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Ibycter americanus","Ibycter americanus","Falco americanus","Aves","Falconiformes","Falconidae","faunabr",NA
"Icterus jamacaii","Icterus icterus",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Icterus pyrrhopterus","Icterus cayanensis","Oriolus cayanensis","Aves","Passeriformes","Icteridae","faunabr",NA
"Imantodes cenchoa","Imantodes cenchoa","Coluber cenchoa","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Iodopleura isabellae","Iodopleura isabellae",NA,"Aves","Passeriformes","Tityridae","faunabr",NA
"Ischnocnema manezinho","Ischnocnema manezinho","Eleutherodactylus manezinho","Amphibia","Anura","Brachycephalidae","faunabr",NA
"Isleria hauxwelli","Isleria hauxwelli",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Jacamaralcyon tridactyla","Jacamaralcyon tridactyla",NA,"Aves","Galbuliformes","Galbulidae","faunabr",NA
"Jacamerops aureus","Jacamerops aureus","Alcedo aurea","Aves","Galbuliformes","Galbulidae","faunabr",NA
"Juliomys rimofrons","Juliomys rimofrons",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Juliomys ximenezi","Juliomys ximenezi",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Kerodon acrobata","Kerodon acrobata",NA,"Mammalia","Rodentia","Caviidae","faunabr",NA
"Kerodon rupestris","Kerodon rupestris",NA,"Mammalia","Rodentia","Caviidae","faunabr",NA
"Kinosternon scorpioides","Kinosternon scorpioides","Testudo scorpioides","Reptilia","Testudines","Kinosternidae","faunabr",NA
"Knipolegus aterrimus","Knipolegus aterrimus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Knipolegus franciscanus","Knipolegus franciscanus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Knipolegus hudsoni","Knipolegus hudsoni",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Kunsia tomentosus","Kunsia tomentosus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Lachesis muta","Lachesis muta",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Laniisoma elegans","Laniisoma elegans",NA,"Aves","Passeriformes","Tityridae","faunabr",NA
"Laniocera hypopyrra","Laniocera hypopyrra","Ampelis hypopyrra","Aves","Passeriformes","Tityridae","faunabr",NA
"Lasiurus ebenus","Lasiurus ebenus",NA,"Mammalia","Chiroptera","Vespertilionidae","faunabr",NA
"Laterallus flaviventer","Porzana flaviventer","Rallus flaviventer","Aves","Gruiformes","Rallidae","faunabr",NA
"Laterallus jamaicensis","Laterallus jamaicensis",NA,"Aves","Gruiformes","Rallidae","faunabr",NA
"Laterallus spiloptera","Porzana spiloptera",NA,"Aves","Gruiformes","Rallidae","faunabr",NA
"Leistes defilippii","Sturnella defilippii",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Leistes militaris","Sturnella militaris","Sturnus militaris","Aves","Passeriformes","Icteridae","faunabr",NA
"Leontopithecus chrysomelas","Leontopithecus chrysomelas","Midas chrysomelas","Mammalia","Primates","Cebidae","faunabr",NA
"Leontopithecus rosalia","Leontopithecus rosalia",NA,"Mammalia","Primates","Cebidae","faunabr",NA
"Leopardus braccatus","Leopardus braccatus",NA,"Mammalia","Carnivora","Felidae","faunabr",NA
"Leopardus tigrinus","Leopardus tigrinus","Felis tigrina","Mammalia","Carnivora","Felidae","faunabr",NA
"Lepidochelys olivacea","Lepidochelys olivacea","Chelonia olivacea","Reptilia","Testudines","Cheloniidae","faunabr",NA
"Lepidocolaptes layardi","Lepidocolaptes layardi",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Lepidocolaptes wagleri","Lepidocolaptes squamatus wagleri",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Lepidothrix iris","Lepidothrix iris","Pipra iris","Aves","Passeriformes","Pipridae","faunabr",NA
"Leposternon cerradensis","Leposternon cerradensis",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon infraorbitale","Leposternon infraorbitale","Lepidosternon infraorbitale","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon kisteumacheri","Leposternon kisteumacheri",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon maximus","Leposternon maximus",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon mineiro","Leposternon mineiro",NA,"Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon octostegum","Leposternon octostegum","Lepidosternon octostegum","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon polystegum","Leposternon polystegum","Lepidosternon polystegum","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon scutigerum","Leposternon scutigerum","Amphisbaena scutigera","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leposternon wuchereri","Leposternon wuchereri","Lepidosternon wuchereri","Reptilia","Squamata","Amphisbaenidae","faunabr",NA
"Leptodactylus avivoca","Leptodactylus avivoca",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus barrioi","Leptodactylus barrioi",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus brevipes","Leptodactylus petersii","Platymantis petersii","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus bufonius","Leptodactylus bufonius",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus caatingae","Leptodactylus caatingae",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus camaquara","Leptodactylus camaquara",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus cunicularius","Leptodactylus cunicularius",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus cupreus","Leptodactylus cupreus",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus flavopictus","Leptodactylus flavopictus",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus jolyi","Leptodactylus jolyi",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus kilombo","Leptodactylus kilombo",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus latinasus","Leptodactylus latinasus",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus luctator","Leptodactylus luctator",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus marambaiae","Leptodactylus marambaiae",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus mystaceus","Leptodactylus mystaceus","Rana mystacea","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus natalensis","Leptodactylus natalensis",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus oreomantis","Leptodactylus oreomantis",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus paranaru","Leptodactylus paranaru",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus payaya","Leptodactylus payaya",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus pustulatus","Leptodactylus pustulatus","Entomoglossus pustulatus","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus sertanejo","Leptodactylus sertanejo",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus spixi","Leptodactylus spixi",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus syphax","Leptodactylus syphax",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus tapiti","Leptodactylus tapiti",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus troglodytes","Leptodactylus troglodytes",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus vastus","Leptodactylus vastus",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus viridis","Leptodactylus viridis",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodactylus watu","Leptodactylus watu",NA,"Amphibia","Anura","Leptodactylidae","faunabr",NA
"Leptodon forbesi","Leptodon forbesi",NA,"Aves","Accipitriformes","Accipitridae","faunabr",NA
"Lessonia rufa","Lessonia rufa",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Leucophaeus atricilla","Leucophaeus atricilla","Larus atricilla","Aves","Charadriiformes","Laridae","faunabr",NA
"Leucophaeus modestus","Leucophaeus modestus","Larus modestus","Aves","Charadriiformes","Laridae","faunabr",NA
"Lichonycteris obscura","Lichonycteris obscura;Lichonycteris degener",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr","Lichonycteris degener"
"Limnoctites rectirostris","Limnornis rectirostris",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Limnodromus griseus","Limnodromus griseus","Scolopax grisea","Aves","Charadriiformes","Scolopacidae","faunabr",NA
"Limnornis curvirostris","Limnornis curvirostris",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Limosa fedoa","Limosa fedoa","Scolopax fedoa","Aves","Charadriiformes","Scolopacidae","faunabr",NA
"Lioheterophis iheringii","Lioheterophis iheringi",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Lionycteris spurrelli","Lionycteris spurrelli",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Liotyphlops caissara","Liotyphlops caissara",NA,"Reptilia","Squamata","Anomalepididae","faunabr",NA
"Liotyphlops schubarti","Liotyphlops schubarti",NA,"Reptilia","Squamata","Anomalepididae","faunabr",NA
"Liotyphlops trefauti","Liotyphlops trefauti",NA,"Reptilia","Squamata","Anomalepididae","faunabr",NA
"Liotyphlops wilderi","Liotyphlops wilderi","Typhlops wilderi","Reptilia","Squamata","Anomalepididae","faunabr",NA
"Lipaugus ater","Lipaugus ater",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Lipaugus conditus","Tijuca condita",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Lipaugus vociferans","Lipaugus vociferans","Muscicapa vociferans","Aves","Passeriformes","Cotingidae","faunabr",NA
"Lithodytes lineatus","Lithodytes lineatus","Rana lineata","Amphibia","Anura","Leptodactylidae","faunabr",NA
"Lonchophylla bokermanni","Lonchophylla bokermanni",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lonchophylla dekeyseri","Lonchophylla dekeyseri",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lonchophylla inexpectata","Lonchophylla inexpectata",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lonchophylla mordax","Lonchophylla mordax",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lonchophylla peracchii","Lonchophylla peracchii",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lophornis gouldii","Lophornis gouldii","Ornismya gouldii","Aves","Apodiformes","Trochilidae","faunabr",NA
"Lophostoma brasiliense","Lophostoma brasiliense",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lophostoma carrikeri","Lophostoma carrikeri","Chrotopterus carrikeri","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Lophotriccus galeatus","Lophotriccus galeatus",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Loriotus luctuosus","Loriotus luctuosus","Tachyphonus luctuosus","Aves","Passeriformes","Thraupidae","faunabr",NA
"Lundomys molitor","Lundomys molitor","Hesperomys molitor","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Machaeropterus pyrocephalus","Machaeropterus pyrocephalus",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Machaeropterus regulus","Machaeropterus regulus",NA,"Aves","Passeriformes","Pipridae","faunabr",NA
"Makalata didelphoides","Makalata didelphoides","Echimys didelphoides","Mammalia","Rodentia","Echimyidae","faunabr",NA
