"species","class","order","family","source"
"Buteo albicaudatus","Aves","Accipitriformes","Accipitridae","gbif_only"
"Pavo cristatus","Aves","Galliformes","Phasianidae","gbif_only"
"Salvator rufescens","Squamata",NA,"Teiidae","gbif_only"
"Micoureus paraguayanus","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Accipiter superciliosus","Aves","Accipitriformes","Accipitridae","gbif_only"
"Brachycephalus quiririensis","Amphibia","Anura","Brachycephalidae","gbif_only"
"Cercomacra laeta","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Eleutherodactylus planirostris","Amphibia","Anura","Eleutherodactylidae","gbif_only"
"Tropidurus lagunablanca","Squamata",NA,"Tropiduridae","gbif_only"
"Taubatornis campbelli","Aves","Accipitriformes","Cathartidae","gbif_only"
"Pampatherium paulacoutoi","Mammalia","Cingulata","Pampatheriidae","gbif_only"
"Dusicyon avus","Mammalia","Carnivora","Canidae","gbif_only"
"Elephantulus brachyrhynchus","Mammalia","Macroscelidea","Macroscelididae","gbif_only"
"Lophura nycthemera","Aves","Galliformes","Phasianidae","gbif_only"
"Otaria byronia","Mammalia","Carnivora","Otariidae","gbif_only"
"Holmesina paulacoutoi","Mammalia","Cingulata","Dasypodidae","gbif_only"
"Pleurodema borellii","Amphibia","Anura","Leptodactylidae","gbif_only"
"Ovis dalli","Mammalia","Artiodactyla","Bovidae","gbif_only"
"Lepus oiostolus","Mammalia","Lagomorpha","Leporidae","gbif_only"
"Pipile cumanensis","Aves","Galliformes","Cracidae","gbif_only"
"Lagenorhynchus acutus","Mammalia","Cetacea","Delphinidae","gbif_only"
"Dromaius novaehollandiae","Aves","Casuariiformes","Dromaiidae","gbif_only"
"Acrochordus javanicus","Squamata",NA,"Acrochordidae","gbif_only"
"Leontinia gaudryi","Mammalia",NA,"Leontiniidae","gbif_only"
"Cygnus atratus","Aves","Anseriformes","Anatidae","gbif_only"
"Ololygon melanodactyla","Amphibia","Anura","Hylidae","gbif_only"
"Anolis porcatus","Squamata",NA,"Dactyloidae","gbif_only"
"Vitreorana assuh","Amphibia","Anura","Centrolenidae","gbif_only"
"Centrolene buckleyi","Amphibia","Anura","Centrolenidae","gbif_only"
"Anas platyrhynchos","Aves","Anseriformes","Anatidae","gbif_only"
"Troglodytes aedon","Aves","Passeriformes","Troglodytidae","gbif_only"
"Thalasseus sandvicensis","Aves","Charadriiformes","Laridae","gbif_only"
"Dorcopsulus vanheurni","Mammalia","Diprotodontia","Macropodidae","gbif_only"
"Eimeria ferreirai","Aves","Columbiformes","Columbidae","gbif_only"
"Ololygon heyeri","Amphibia","Anura","Hylidae","gbif_only"
"Pipra rubrocapilla","Aves","Passeriformes","Pipridae","gbif_only"
"Erythrolamprus macrosomus","Squamata",NA,"Colubridae","gbif_only"
"Glaucomastix abaetensis","Squamata",NA,"Teiidae","gbif_only"
"Chironius gouveai","Squamata",NA,"Colubridae","gbif_only"
"Oligoryzomys eliurus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Trogon strigilatus","Aves","Trogoniformes","Trogonidae","gbif_only"
"Mirandatherium alipioi","Mammalia","Microbiotheria","Microbiotheriidae","gbif_only"
"Waincophis cameratus","Squamata",NA,"Boidae","gbif_only"
"Herpestes javanicus","Mammalia","Carnivora","Herpestidae","gbif_only"
"Ameivula abalosi","Squamata",NA,"Teiidae","gbif_only"
"Euphonia cyanocephala","Aves","Passeriformes","Fringillidae","gbif_only"
"Oxymycterus misionalis","Mammalia","Rodentia","Cricetidae","gbif_only"
"Taeniopygia guttata","Aves","Passeriformes","Estrildidae","gbif_only"
"Pseudoscops clamator","Aves","Strigiformes","Strigidae","gbif_only"
"Cercomacra tyrannina","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Anthus chacoensis","Aves","Passeriformes","Motacillidae","gbif_only"
"Bothrops asper","Squamata",NA,"Viperidae","gbif_only"
"Didelphopsis cabrerai","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Asmithwoodwardia scotti","Mammalia",NA,"Protolipternidae","gbif_only"
"Artibeus fraterculus","Mammalia","Chiroptera","Phyllostomidae","gbif_only"
"Curaeus forbesi","Aves","Passeriformes","Icteridae","gbif_only"
"Ophiodes intermedius","Squamata",NA,"Diploglossidae","gbif_only"
"Natalus stramineus","Mammalia","Chiroptera","Natalidae","gbif_only"
"Guggenheimia brasiliensis","Mammalia","Didelphimorphia","Protodidelphidae","gbif_only"
"Nothrotherium maquinense","Mammalia","Pilosa","Nothrotheriidae","gbif_only"
"Ololygon carnevallii","Amphibia","Anura","Hylidae","gbif_only"
"Myrmeciza squamosa","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Ololygon brieni","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon perpusilla","Amphibia","Anura","Hylidae","gbif_only"
"Phyllopezus diamantino","Squamata",NA,"Phyllodactylidae","gbif_only"
"Accipiter erythronemius","Aves","Accipitriformes","Accipitridae","gbif_only"
"Akodon varius","Mammalia","Rodentia","Cricetidae","gbif_only"
"Phyllodytes megatympanum","Amphibia","Anura","Hylidae","gbif_only"
"Eutreptodactylus itaboraiensis","Aves","Cuculiformes","Cuculidae","gbif_only"
"Nasua narica","Mammalia","Carnivora","Procyonidae","gbif_only"
"Glyptodon clavipes","Mammalia","Cingulata","Glyptodontidae","gbif_only"
"Podiceps major","Aves","Podicipediformes","Podicipedidae","gbif_only"
"Dasypterus ega","Mammalia","Chiroptera","Vespertilionidae","gbif_only"
"Stymphalornis acutirostris","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Chordeiles nacunda","Aves","Caprimulgiformes","Caprimulgidae","gbif_only"
"Eulampis jugularis","Aves","Apodiformes","Trochilidae","gbif_only"
"Adelophryne glandulata","Amphibia","Anura","Eleutherodactylidae","gbif_only"
"Dipsas turgida","Squamata",NA,"Colubridae","gbif_only"
"Scinax tropicalia","Amphibia","Anura","Hylidae","gbif_only"
"Anolis equestris","Squamata",NA,"Dactyloidae","gbif_only"
"Pristiguana brasilensis","Squamata",NA,"Iguanidae","gbif_only"
"Smilodon populator","Mammalia","Carnivora","Felidae","gbif_only"
"Ololygon strigilata","Amphibia","Anura","Hylidae","gbif_only"
"Hyloscirtus platydactylus","Amphibia","Anura","Hylidae","gbif_only"
"Nyctibius jamaicensis","Aves","Nyctibiiformes","Nyctibiidae","gbif_only"
"Pseudocolopteryx dinelliana","Aves","Passeriformes","Tyrannidae","gbif_only"
"Jacana spinosa","Aves","Charadriiformes","Jacanidae","gbif_only"
"Vitreorana baliomma","Amphibia","Anura","Centrolenidae","gbif_only"
"Chaetura andrei","Aves","Apodiformes","Apodidae","gbif_only"
"Megaelosia boticariana","Amphibia","Anura","Hylodidae","gbif_only"
"Erythrolamprus bizona","Squamata",NA,"Colubridae","gbif_only"
"Eleothreptus anomalus","Aves","Caprimulgiformes","Caprimulgidae","gbif_only"
"Numida meleagris","Aves","Galliformes","Numididae","gbif_only"
"Psittacula krameri","Aves","Psittaciformes","Psittacidae","gbif_only"
"Branta canadensis","Aves","Anseriformes","Anatidae","gbif_only"
"Nothoprocta cinerascens","Aves","Tinamiformes","Tinamidae","gbif_only"
"Tragelaphus spekii","Mammalia","Artiodactyla","Bovidae","gbif_only"
"Buteo ventralis","Aves","Accipitriformes","Accipitridae","gbif_only"
"Eumetopias jubatus","Mammalia","Carnivora","Otariidae","gbif_only"
"Coccyzus cinereus","Aves","Cuculiformes","Cuculidae","gbif_only"
"Ololygon peixotoi","Amphibia","Anura","Hylidae","gbif_only"
"Anser albifrons","Aves","Anseriformes","Anatidae","gbif_only"
"Xenopus laevis","Amphibia","Anura","Pipidae","gbif_only"
"Proceratophrys pombali","Amphibia","Anura","Odontophrynidae","gbif_only"
"Bothrops lanceolatus","Squamata",NA,"Viperidae","gbif_only"
"Periprotodidelphis bergqvistae","Mammalia","Didelphimorphia","Protodidelphidae","gbif_only"
"Alopochen aegyptiaca","Aves","Anseriformes","Anatidae","gbif_only"
"Buteogallus urubitinga","Aves","Accipitriformes","Accipitridae","gbif_only"
"Panthera pardus","Mammalia","Carnivora","Felidae","gbif_only"
"Sylvilagus tapetillus","Mammalia","Lagomorpha","Leporidae","gbif_only"
"Fregata ariel","Aves","Suliformes","Fregatidae","gbif_only"
"Chacophrys pierottii","Amphibia","Anura","Ceratophryidae","gbif_only"
"Porzana flaviventer","Aves","Gruiformes","Rallidae","gbif_only"
"Anisolepis longicauda","Squamata",NA,"Leiosauridae","gbif_only"
"Brasilemys josai","Testudines",NA,"Podocnemididae","gbif_only"
"Micronycteris brosseti","Mammalia","Chiroptera","Phyllostomidae","gbif_only"
"Gallus gallus","Aves","Galliformes","Phasianidae","gbif_only"
"Trachycephalus venulosus","Amphibia","Anura","Hylidae","gbif_only"
"Georychus capensis","Mammalia","Rodentia","Bathyergidae","gbif_only"
"Leucopternis polionotus","Aves","Accipitriformes","Accipitridae","gbif_only"
"Sakesphorus cristatus","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Cyanocompsa brissonii","Aves","Passeriformes","Cardinalidae","gbif_only"
"Sciurus spadiceus","Mammalia","Rodentia","Sciuridae","gbif_only"
"Anolis meridionalis","Squamata",NA,"Dactyloidae","gbif_only"
"Brasiliscincus caissara","Squamata",NA,"Scincidae","gbif_only"
"Chlorospingus pileatus","Aves","Passeriformes","Passerellidae","gbif_only"
"Pulsatrix melanota","Aves","Strigiformes","Strigidae","gbif_only"
"Psittacula eupatria","Aves","Psittaciformes","Psittacidae","gbif_only"
"Apostolepis mariae","Squamata",NA,"Colubridae","gbif_only"
"Porzana spiloptera","Aves","Gruiformes","Rallidae","gbif_only"
"Myosorex varius","Mammalia","Soricomorpha","Soricidae","gbif_only"
"Ramphastos ariel","Aves","Piciformes","Ramphastidae","gbif_only"
"Columbina inca","Aves","Columbiformes","Columbidae","gbif_only"
"Physalaemus carrizorum","Amphibia","Anura","Leptodactylidae","gbif_only"
"Dendropsophus tapacurensis","Amphibia","Anura","Hylidae","gbif_only"
"Anolis ortonii","Squamata",NA,"Dactyloidae","gbif_only"
"Oryctolagus cuniculus","Mammalia","Lagomorpha","Leporidae","gbif_only"
"Pecari pecari","Mammalia","Artiodactyla","Tayassuidae","gbif_only"
"Akodon serrensis","Mammalia","Rodentia","Cricetidae","gbif_only"
"Anser cygnoides","Aves","Anseriformes","Anatidae","gbif_only"
"Ololygon littoreus","Amphibia","Anura","Hylidae","gbif_only"
"Leopardus guigna","Mammalia","Carnivora","Felidae","gbif_only"
"Sphiggurus villosus","Mammalia","Rodentia","Erethizontidae","gbif_only"
"Netta rufina","Aves","Anseriformes","Anatidae","gbif_only"
"Agapornis personatus","Aves","Psittaciformes","Psittacidae","gbif_only"
"Sarkidiornis melanotos","Aves","Anseriformes","Anatidae","gbif_only"
"Peiropemys mezzalirai","Testudines",NA,"Podocnemididae","gbif_only"
"Derorhynchus singularis","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Australonyx aquae","Mammalia","Pilosa","Megalonychidae","gbif_only"
"Pecari tajacu","Mammalia","Artiodactyla","Tayassuidae","gbif_only"
"Ololygon argyreornata","Amphibia","Anura","Hylidae","gbif_only"
"Aratinga leucophthalma","Aves","Psittaciformes","Psittacidae","gbif_only"
"Artibeus jamaicensis","Mammalia","Chiroptera","Phyllostomidae","gbif_only"
"Quiscalus mexicanus","Aves","Passeriformes","Icteridae","gbif_only"
"Phyllotis xanthopygus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Mitu tomentosum","Aves","Galliformes","Cracidae","gbif_only"
"Synallaxis brachyura","Aves","Passeriformes","Furnariidae","gbif_only"
"Ischnocnema feioi","Amphibia","Anura","Brachycephalidae","gbif_only"
"Ischnocnema parnaso","Amphibia","Anura","Brachycephalidae","gbif_only"
"Monodelphopsis travassosi","Mammalia",NA,"Pediomyidae","gbif_only"
"Gallinago gallinago","Aves","Charadriiformes","Scolopacidae","gbif_only"
"Liolaemus wiegmannii","Squamata",NA,"Liolaemidae","gbif_only"
"Odontophrynus juquinha","Amphibia","Anura","Odontophrynidae","gbif_only"
"Dumetella carolinensis","Aves","Passeriformes","Mimidae","gbif_only"
"Proceratophrys itamari","Amphibia","Anura","Odontophrynidae","gbif_only"
"Cuon alpinus","Mammalia","Carnivora","Canidae","gbif_only"
"Microtus longicaudus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Pseudopaludicola restinga","Amphibia","Anura","Leptodactylidae","gbif_only"
"Brucepattersonius paradisus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Colobosaura kraepelini","Squamata",NA,"Gymnophthalmidae","gbif_only"
"Tropidophis taczanowskyi","Squamata",NA,"Tropidophiidae","gbif_only"
"Bucco tamatia","Aves","Piciformes","Bucconidae","gbif_only"
"Plegadis falcinellus","Aves","Pelecaniformes","Threskiornithidae","gbif_only"
"Guggenheimia crocheti","Mammalia","Didelphimorphia","Protodidelphidae","gbif_only"
"Marmota bobak","Mammalia","Rodentia","Sciuridae","gbif_only"
"Sphaenorhynchus platycephalus","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon rizibilis","Amphibia","Anura","Hylidae","gbif_only"
"Palusophis bifossatus","Squamata",NA,"Colubridae","gbif_only"
"Puffinus gravis","Aves","Procellariiformes","Procellariidae","gbif_only"
"Helicops nentur","Squamata",NA,"Colubridae","gbif_only"
"Sciurus ignitus","Mammalia","Rodentia","Sciuridae","gbif_only"
"Minusculodelphis minimus","Mammalia",NA,"Jaskhadelphyidae","gbif_only"
"Dendropsophus nekronastes","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon kautskyi","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon flavoguttata","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon humilis","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon obtriangulata","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon albicans","Amphibia","Anura","Hylidae","gbif_only"
"Apostolepis thalesdelemai","Squamata",NA,"Colubridae","gbif_only"
"Glaucidium nana","Aves","Strigiformes","Strigidae","gbif_only"
"Synallaxis cinnamomea","Aves","Passeriformes","Furnariidae","gbif_only"
"Philydor lichtensteini","Aves","Passeriformes","Furnariidae","gbif_only"
"Artibeus glaucus","Mammalia","Chiroptera","Phyllostomidae","gbif_only"
"Anomalurus derbianus","Mammalia","Rodentia","Anomaluridae","gbif_only"
"Epomops buettikoferi","Mammalia","Chiroptera","Pteropodidae","gbif_only"
"Phyllodytes magnus","Amphibia","Anura","Hylidae","gbif_only"
"Micrurus fulvius","Squamata",NA,"Elapidae","gbif_only"
"Sclerurus obscurior","Aves","Passeriformes","Furnariidae","gbif_only"
"Gallinula melanops","Aves","Gruiformes","Rallidae","gbif_only"
"Procaroloameghinia pricei","Mammalia","Paucituberculata","Caroloameghiniidae","gbif_only"
"Ololygon faivovichi","Amphibia","Anura","Hylidae","gbif_only"
"Proceratophrys mantiqueira","Amphibia","Anura","Odontophrynidae","gbif_only"
"Ololygon ranki","Amphibia","Anura","Hylidae","gbif_only"
"Catharus ustulatus","Aves","Passeriformes","Turdidae","gbif_only"
"Lepus capensis","Mammalia","Lagomorpha","Leporidae","gbif_only"
"Sphiggurus insidiosus","Mammalia","Rodentia","Erethizontidae","gbif_only"
"Scinax pixinguinha","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon belloni","Amphibia","Anura","Hylidae","gbif_only"
"Patene simpsoni","Mammalia",NA,"Hathliacynidae","gbif_only"
"Basileuterus vermivorus","Aves","Passeriformes","Parulidae","gbif_only"
"Batrachemys tuberculata","Testudines",NA,"Chelidae","gbif_only"
"Brasiliscincus heathi","Squamata",NA,"Scincidae","gbif_only"
"Cercosaura olivacea","Squamata",NA,"Gymnophthalmidae","gbif_only"
"Riolestes capricornicus","Mammalia","Paucituberculata",NA,"gbif_only"
"Epidolops ameghinoi","Mammalia",NA,"Bonapartheriidae","gbif_only"
"Physalaemus fernandezae","Amphibia","Anura","Leptodactylidae","gbif_only"
"Riostegotherium yanei","Mammalia","Cingulata","Dasypodidae","gbif_only"
"Tyto alba","Aves","Strigiformes","Tytonidae","gbif_only"
"Chordeiles pusillus","Aves","Caprimulgiformes","Caprimulgidae","gbif_only"
"Philydor rufum","Aves","Passeriformes","Furnariidae","gbif_only"
"Anthus lutescens","Aves","Passeriformes","Motacillidae","gbif_only"
"Myrmeciza loricata","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Felis catus","Mammalia","Carnivora","Felidae","gbif_only"
"Sphiggurus spinosus","Mammalia","Rodentia","Erethizontidae","gbif_only"
"Sturnella militaris","Aves","Passeriformes","Icteridae","gbif_only"
"Glaucomastix littoralis","Squamata",NA,"Teiidae","gbif_only"
"Loddigesia mirabilis","Aves","Apodiformes","Trochilidae","gbif_only"
"Lanius senator","Aves","Passeriformes","Laniidae","gbif_only"
"Clyomys bishopi","Mammalia","Rodentia","Echimyidae","gbif_only"
"Elaenia martinica","Aves","Passeriformes","Tyrannidae","gbif_only"
"Catonyx cuvieri","Mammalia","Pilosa","Mylodontidae","gbif_only"
"Leptodactylus poecilochilus","Amphibia","Anura","Leptodactylidae","gbif_only"
"Eptesicus fuscus","Mammalia","Chiroptera","Vespertilionidae","gbif_only"
"Cynanthus latirostris","Aves","Apodiformes","Trochilidae","gbif_only"
"Aix sponsa","Aves","Anseriformes","Anatidae","gbif_only"
"Tijuca atra","Aves","Passeriformes","Cotingidae","gbif_only"
"Pseudopaludicola florencei","Amphibia","Anura","Leptodactylidae","gbif_only"
"Laterallus albigularis","Aves","Gruiformes","Rallidae","gbif_only"
"Equus caballus","Mammalia","Perissodactyla","Equidae","gbif_only"
"Campephilus magellanicus","Aves","Piciformes","Picidae","gbif_only"
"Carodnia vieirai","Mammalia",NA,"Carodniidae","gbif_only"
"Mertensophryne lindneri","Amphibia","Anura","Bufonidae","gbif_only"
"Hemidactylus turcicus","Squamata",NA,"Gekkonidae","gbif_only"
"Minusculodelphis modicum","Mammalia",NA,"Jaskhadelphyidae","gbif_only"
"Cardellina canadensis","Aves","Passeriformes","Parulidae","gbif_only"
"Struthio camelus","Aves","Struthioniformes","Struthionidae","gbif_only"
"Ololygon cosenzai","Amphibia","Anura","Hylidae","gbif_only"
"Hylaeamys laticeps","Mammalia","Rodentia","Cricetidae","gbif_only"
"Micoureus demerarae","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Anas aucklandica","Aves","Anseriformes","Anatidae","gbif_only"
"Oressochen jubatus","Aves","Anseriformes","Anatidae","gbif_only"
"Anolis punctatus","Squamata",NA,"Dactyloidae","gbif_only"
"Proceratophrys gladius","Amphibia","Anura","Odontophrynidae","gbif_only"
"Enyalius boulengeri","Squamata",NA,"Leiosauridae","gbif_only"
"Chamaeleo dilepis","Squamata",NA,"Chamaeleonidae","gbif_only"
"Diogenornis fragilis","Aves","Rheiformes","Opisthodactylidae","gbif_only"
"Ahytherium aureum","Mammalia","Pilosa","Megalonychidae","gbif_only"
"Rhynchippus brasiliensis","Mammalia",NA,"Notohippidae","gbif_only"
"Epictia australis","Squamata",NA,"Leptotyphlopidae","gbif_only"
"Brachycephalus sulfuratus","Amphibia","Anura","Brachycephalidae","gbif_only"
"Platycercus adscitus","Aves","Psittaciformes","Psittacidae","gbif_only"
"Myrmeciza ruficauda","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Brucepattersonius guarani","Mammalia","Rodentia","Cricetidae","gbif_only"
"Chiasmocleis bicegoi","Amphibia","Anura","Microhylidae","gbif_only"
"Calyptommatus frontalis","Squamata",NA,"Gymnophthalmidae","gbif_only"
"Nyctimantis arapapa","Amphibia","Anura","Hylidae","gbif_only"
"Megaelosia bocainensis","Amphibia","Anura","Hylodidae","gbif_only"
"Akodon affinis","Mammalia","Rodentia","Cricetidae","gbif_only"
"Phyllodytes amadoi","Amphibia","Anura","Hylidae","gbif_only"
"Zeusdelphys complicatus","Mammalia","Didelphimorphia","Protodidelphidae","gbif_only"
"Palaeocladosictis mosesi","Mammalia",NA,"Hathliacynidae","gbif_only"
"Meleagris gallopavo","Aves","Galliformes","Phasianidae","gbif_only"
"Odontophrynus toledoi","Amphibia","Anura","Odontophrynidae","gbif_only"
"Myrmeciza pelzelni","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Oxymycterus hispidus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Pseudopaludicola pusilla","Amphibia","Anura","Leptodactylidae","gbif_only"
"Lagostomus maximus","Mammalia","Rodentia","Chinchillidae","gbif_only"
"Ololygon ariadne","Amphibia","Anura","Hylidae","gbif_only"
"Hylopezus nattereri","Aves","Passeriformes","Grallariidae","gbif_only"
"Pseudopaludicola atragula","Amphibia","Anura","Leptodactylidae","gbif_only"
"Craugastor fitzingeri","Amphibia","Anura","Craugastoridae","gbif_only"
"Systellura longirostris","Aves","Caprimulgiformes","Caprimulgidae","gbif_only"
"Xenopus romeri","Amphibia","Anura","Pipidae","gbif_only"
"Lepus europaeus","Mammalia","Lagomorpha","Leporidae","gbif_only"
"Himantopus himantopus","Aves","Charadriiformes","Recurvirostridae","gbif_only"
"Chunga burmeisteri","Aves","Cariamiformes","Cariamidae","gbif_only"
"Paraungaliophis pricei","Squamata",NA,"Boidae","gbif_only"
"Gashternia carioca","Mammalia","Paucituberculata","Gashterniidae","gbif_only"
"Pricemys caiera","Testudines",NA,"Podocnemididae","gbif_only"
"Eupetomena cirrochloris","Aves","Apodiformes","Trochilidae","gbif_only"
"Tadorna ferruginea","Aves","Anseriformes","Anatidae","gbif_only"
"Aix galericulata","Aves","Anseriformes","Anatidae","gbif_only"
"Julianus pinimus","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon berthae","Amphibia","Anura","Hylidae","gbif_only"
"Piranga hepatica","Aves","Passeriformes","Cardinalidae","gbif_only"
"Kobus megaceros","Mammalia","Artiodactyla","Bovidae","gbif_only"
"Ololygon machadoi","Amphibia","Anura","Hylidae","gbif_only"
"Arariphrynus placidoi","Amphibia","Anura","Leptodactylidae","gbif_only"
"Geothlypis velata","Aves","Passeriformes","Parulidae","gbif_only"
"Clytolaema rubricauda","Aves","Apodiformes","Trochilidae","gbif_only"
"Myonycteris torquata","Mammalia","Chiroptera","Pteropodidae","gbif_only"
"Sigmodon hispidus","Mammalia","Rodentia","Cricetidae","gbif_only"
"Apus apus","Aves","Apodiformes","Apodidae","gbif_only"
"Ololygon jureia","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon luizotavioi","Amphibia","Anura","Hylidae","gbif_only"
"Ololygon muriciensis","Amphibia","Anura","Hylidae","gbif_only"
"Lepidodactylus lugubris","Squamata",NA,"Gekkonidae","gbif_only"
"Ololygon trapicheiroi","Amphibia","Anura","Hylidae","gbif_only"
"Setophaga adelaidae","Aves","Passeriformes","Parulidae","gbif_only"
"Hemidactylus garnotii","Squamata",NA,"Gekkonidae","gbif_only"
"Taubatherium paulacoutoi","Mammalia",NA,"Leontiniidae","gbif_only"
"Ololygon centralis","Amphibia","Anura","Hylidae","gbif_only"
"Marmosopsis juradoi","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Empidonomus aurantioatrocristatus","Aves","Passeriformes","Tyrannidae","gbif_only"
"Lithobates catesbeianus","Amphibia","Anura","Ranidae","gbif_only"
"Corvus brachyrhynchos","Aves","Passeriformes","Corvidae","gbif_only"
"Mabuya mabouya","Squamata",NA,"Scincidae","gbif_only"
"Porzana albicollis","Aves","Gruiformes","Rallidae","gbif_only"
"Thylamys pusillus","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Sarcosuchus hartti","Crocodylia",NA,"Crocodylidae","gbif_only"
"Corallus priscus","Squamata",NA,"Boidae","gbif_only"
"Corvus macrorhynchos","Aves","Passeriformes","Corvidae","gbif_only"
"Lasiurus borealis","Mammalia","Chiroptera","Vespertilionidae","gbif_only"
"Puffinus griseus","Aves","Procellariiformes","Procellariidae","gbif_only"
"Anser anser","Aves","Anseriformes","Anatidae","gbif_only"
"Melopsittacus undulatus","Aves","Psittaciformes","Psittacidae","gbif_only"
"Anolis fuscoauratus","Squamata",NA,"Dactyloidae","gbif_only"
"Ololygon catharinae","Amphibia","Anura","Hylidae","gbif_only"
"Lestodon armatus","Mammalia","Pilosa","Mylodontidae","gbif_only"
"Callorhinus ursinus","Mammalia","Carnivora","Otariidae","gbif_only"
"Synaptomys borealis","Mammalia","Rodentia","Cricetidae","gbif_only"
"Pagodroma nivea","Aves","Procellariiformes","Procellariidae","gbif_only"
"Anolis nasofrontalis","Squamata",NA,"Dactyloidae","gbif_only"
"Pipile jacutinga","Aves","Galliformes","Cracidae","gbif_only"
"Gaylordia macrocynodonta","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Miniopterus pusillus","Mammalia","Chiroptera","Miniopteridae","gbif_only"
"Cygnus olor","Aves","Anseriformes","Anatidae","gbif_only"
"Pitangus lictor","Aves","Passeriformes","Tyrannidae","gbif_only"
"Oxyura australis","Aves","Anseriformes","Anatidae","gbif_only"
"Anser canagicus","Aves","Anseriformes","Anatidae","gbif_only"
"Trachylepis maculata","Squamata",NA,"Scincidae","gbif_only"
"Lamegoia conodonta","Mammalia",NA,"Didolodontidae","gbif_only"
"Eocaiman itaboraiensis","Crocodylia",NA,"Alligatoridae","gbif_only"
"Homalostylops atavus","Mammalia",NA,"Notostylopidae","gbif_only"
"Copeoglossum nigropunctatum","Squamata",NA,"Scincidae","gbif_only"
"Sorex vagrans","Mammalia","Soricomorpha","Soricidae","gbif_only"
"Dendrophryniscus jureia","Amphibia","Anura","Bufonidae","gbif_only"
"Tyrannus couchii","Aves","Passeriformes","Tyrannidae","gbif_only"
"Gallinula chloropus","Aves","Gruiformes","Rallidae","gbif_only"
"Eimeria akodonensis","Aves","Columbiformes","Columbidae","gbif_only"
"Phyllodytes praeceptor","Amphibia","Anura","Hylidae","gbif_only"
"Glyptodon reticulatus","Mammalia","Cingulata","Glyptodontidae","gbif_only"
"Gaylordia mater","Mammalia","Didelphimorphia","Didelphidae","gbif_only"
"Xolmis cinereus","Aves","Passeriformes","Tyrannidae","gbif_only"
"Pseudomys gouldii","Mammalia","Rodentia","Muridae","gbif_only"
"Ololygon v-signata","Amphibia","Anura","Hylidae","gbif_only"
"Xenops genibarbis","Aves","Passeriformes","Furnariidae","gbif_only"
"Lama glama","Mammalia","Artiodactyla","Camelidae","gbif_only"
"Megaelosia apuana","Amphibia","Anura","Hylodidae","gbif_only"
"Dendropsophus bromeliaceus","Amphibia","Anura","Hylidae","gbif_only"
"Mareca sibilatrix","Aves","Anseriformes","Anatidae","gbif_only"
"Turdus fulviventris","Aves","Passeriformes","Turdidae","gbif_only"
"Ocnopus gracilis","Mammalia","Pilosa","Megatheriidae","gbif_only"
"Hyla meridionalis","Amphibia","Anura","Hylidae","gbif_only"
"Zachaenus parvulus","Amphibia","Anura","Cycloramphidae","gbif_only"
"Turdus nigriceps","Aves","Passeriformes","Turdidae","gbif_only"
"Aspronema dorsivittatum","Squamata",NA,"Scincidae","gbif_only"
"Charadrius asiaticus","Aves","Charadriiformes","Charadriidae","gbif_only"
"Aratinga mitrata","Aves","Psittaciformes","Psittacidae","gbif_only"
"Carolocoutoia ferigoloi","Mammalia","Didelphimorphia","Protodidelphidae","gbif_only"
"Herpsilochmus sellowi","Aves","Passeriformes","Thamnophilidae","gbif_only"
"Ololygon littoralis","Amphibia","Anura","Hylidae","gbif_only"
"Dipsas mikanii","Squamata",NA,"Colubridae","gbif_only"
"Chlorosoma laticeps","Squamata",NA,"Colubridae","gbif_only"
"Carollia castanea","Mammalia","Chiroptera","Phyllostomidae","gbif_only"
"Sphaenorhynchus canga","Amphibia","Anura","Hylidae","gbif_only"
"Setopagis parvula","Aves","Caprimulgiformes","Caprimulgidae","gbif_only"
